"","Gemeente","Leden_per_10000_inwoners","gem_code","Aantal"
"192","Middelburg",8.25,687,40
"193","Midden-Delfland",12.38,1842,24
"194","Midden-Drenthe",8.52,1731,21
"195","Midden-Groningen",5.95,1952,32
"196","Mill en Sint Hubert",11.01,815,12
"197","Moerdijk",8.03,1709,29
"198","Molenlanden",9.15,1978,36
"199","Montferland",5.85,1955,18
"200","Montfoort",11.44,335,16
"201","Mook en Middelaar",6.01,944,4
"202","Neder-Betuwe",12.61,1740,29
"203","Nederweert",6.61,946,10
"204","Nieuwegein",9.95,356,62
"205","Nieuwkoop",6.9,569,19
"206","Nijkerk",4.19,267,18
"207","Nijmegen",9.56,268,169
"208","Nissewaard",10.27,1930,82
"209","Noardeast-Fryslân",7.63,1970,21
"210","Noord-Beveland",11.34,1695,6
"211","Noordenveld",14.87,1699,44
"212","Noordoostpolder",8.79,171,36
"213","Noordwijk",10.75,575,46
"214","Nuenen, Gerwen en Nederwetten",13.37,820,31
"215","Nunspeet",10.47,302,28
"216","Oegstgeest",10.24,579,25
"217","Oirschot",18.8,823,35
"218","Oisterwijk",10.07,824,26
"219","Oldambt",8.05,1895,29
"220","Oldebroek",6.04,269,12
"221","Oldenzaal",8.63,173,27
"222","Olst-Wijhe",8.63,1773,14
"223","Ommen",10.65,175,16
"224","Oost Gelre",8.14,1586,21
"225","Oosterhout",11.22,826,61
"226","Ooststellingwerf",5.21,85,10
"227","Oostzaan",5.13,431,5
"228","Opmeer",7.66,432,8
"229","Opsterland",15.49,86,37
"230","Oss",8.05,828,69
"231","Oude IJsselstreek",6.72,1509,24
"232","Ouder-Amstel",7.95,437,11
"233","Oudewater",6.03,589,5
"234","Overbetuwe",12.11,1734,55
"235","Papendrecht",11.77,590,38
"236","Peel en Maas",7.37,1894,31
"237","Pekela",4.1,765,5
"238","Pijnacker-Nootdorp",9.75,1926,53
"239","Purmerend",8.61,439,69
"240","Putten",8.68,273,21
"241","Raalte",7.21,177,24
"242","Reimerswaal",10.87,703,24
"243","Renkum",8.17,274,25
"244","Renswoude",9.51,339,5
"245","Reusel-De Mierden",9.19,1667,12
"246","Rheden",8.15,275,33
"247","Rhenen",14.77,340,29
"248","Ridderkerk",8.87,597,41
"249","Rijssen-Holten",6.79,1742,26
"250","Rijswijk",9.35,603,50
"251","Roerdalen",13.1,1669,27
"252","Roermond",7.65,957,42
"253","Roosendaal",11.36,1674,87
"254","Rotterdam",6.26,599,380
"255","Rozendaal",12.16,277,2
"256","Rucphen",10.74,840,24
"257","Schagen",10.76,441,37
"258","Scherpenzeel",4.05,279,4
"259","Schiedam",8.76,606,68
"260","Schiermonnikoog",10.7,88,1
"261","Schouwen-Duiveland",10.9,1676,30
"262","Simpelveld",7.64,965,8
"263","Sint-Michielsgestel",8.56,845,24
"264","Sint Anthonis",11.85,1702,9
"265","Sittard-Geleen",13.14,1883,118
"266","Sliedrecht",8.08,610,20
"267","Sluis",5.51,1714,7
"268","Smallingerland",6.68,90,35
"269","Soest",13.64,342,63
"270","Someren",8.8,847,17
"271","Son en Breugel",23.07,848,39
"272","Stadskanaal",5.4,37,17
"273","Staphorst",4.77,180,7
"274","Stede Broec",6.45,532,14
"275","Steenbergen",6.71,851,15
"276","Steenwijkerland",11.31,1708,39
"277","Stein",11.62,971,29
"278","Stichtse Vecht",11.74,1904,74
"279","Súdwest-Fryslân",9.12,1900,59
"280","Terneuzen",7.21,715,32
"281","Terschelling",19.8,93,3
"282","Texel",11.42,448,12
"283","Teylingen",10.03,1525,37
"284","Tholen",11.25,716,29
"285","Tiel",7.18,281,30
"286","Tilburg",9.57,855,207
"287","Tubbergen",8.72,183,12
"288","Twenterand",4.56,1700,13
"289","Tynaarlo",11.19,1730,33
"290","Tytsjerksteradiel",7.48,737,20
"291","Uden",9.33,856,39
"292","Uitgeest",5.91,450,8
"293","Uithoorn",7.21,451,18
"294","Urk",6.51,184,9
"295","Utrecht",13.37,344,470
"296","Utrechtse Heuvelrug",10.7,1581,53
"297","Vaals",7.58,981,7
"298","Valkenburg aan de Geul",10.08,994,15
"299","Valkenswaard",10.77,858,32
"300","Veendam",7.03,47,19
"301","Veenendaal",10.37,345,68
"302","Veere",9.2,717,16
"303","Veldhoven",13.23,861,60
"304","Velsen",9.81,453,67
"305","Venlo",8.65,983,85
"306","Venray",10.95,984,42
"307","Vijfheerenlanden",8.9,1961,43
"308","Vlaardingen",7.14,622,51
"309","Vlissingen",9.92,718,44
"310","Voerendaal",13.91,986,16
"311","Voorschoten",9.42,626,24
"312","Voorst",12.51,285,24
"313","Vught",11.8,865,31
"314","Waadhoeke",13.35,1949,42
"315","Waalre",16.23,866,28
"316","Waalwijk",6.85,867,33
"317","Waddinxveen",13.77,627,39
"318","Wageningen",19.19,289,73
"319","Wassenaar",8.14,629,19
"320","Waterland",7.5,852,9
"321","Weert",7.82,988,39
"322","Weesp",9.31,457,18
"323","West Betuwe",14.1,1960,63
"324","West Maas en Waal",11.06,668,19
"325","Westerkwartier",11.89,1969,57
"326","Westerveld",9.82,1701,15
"327","Westervoort",9.37,293,14
"328","Westerwolde",6.17,1950,12
"329","Westland",9.54,1783,103
"330","Weststellingwerf",7.7,98,16
"331","Westvoorne",4.26,614,6
"332","Wierden",7.63,189,18
"333","Wijchen",10.59,296,42
"334","Wijdemeren",10.22,1696,23
"335","Wijk bij Duurstede",15.15,352,36
"336","Winterswijk",5.56,294,14
"337","Woensdrecht",6.86,873,15
"338","Woerden",13.09,632,67
"339","Wormerland",10.23,880,16
"340","Woudenberg",11.39,351,15
"341","Zaanstad",7.63,479,119
"342","Zaltbommel",11.34,297,27
"343","Zandvoort",8.23,473,14
"344","Zeewolde",18.32,50,38
"345","Zeist",11.89,355,76
"346","Zevenaar",8.24,299,32
"347","Zoetermeer",12.01,637,150
"348","Zoeterwoude",9.55,638,8
"349","Zuidplas",14.57,1892,61
"350","Zundert",9.25,879,20
"351","Zutphen",8.4,301,40
"352","Zwartewaterland",10.75,1896,24
"353","Zwijndrecht",9.18,642,41
"354","Zwolle",12.06,193,153
