"geb_naam","Weeknummer","Percentage_met_COVIDachtige_klachten","Deelnemers_per_100000_inwoners","Aantal_meldingen_per_100000_inwoners"
"Midden- en West-Brabant","46",0.074,98,72.63
"Midden- en West-Brabant","47",0.06,101.66,72.63
"Midden- en West-Brabant","48",0.058,102.2,15.28
"NA","42",NA,NA,NA
"NA","43",0.143,NA,NA
"NA","44",0.106,NA,NA
"NA","45",0.077,NA,NA
"NA","46",0.074,NA,NA
"NA","47",0.083,NA,NA
"NA","48",0.105,NA,NA
"Noord- en Oost-Gelderland","42",0.143,0.97,0.85
"Noord- en Oost-Gelderland","43",0.091,16.19,11.96
"Noord- en Oost-Gelderland","44",0.11,43.97,28.63
"Noord- en Oost-Gelderland","45",0.066,61.85,45.66
"Noord- en Oost-Gelderland","46",0.048,74.05,50.86
"Noord- en Oost-Gelderland","47",0.067,76.95,54.12
"Noord- en Oost-Gelderland","48",0.091,NA,11.96
"Noord-Holland-Noord","42",NA,NA,0.75
"Noord-Holland-Noord","43",0.096,16.6,11.01
"Noord-Holland-Noord","44",0.076,50.09,33.95
"Noord-Holland-Noord","45",0.056,70.16,48.28
"Noord-Holland-Noord","46",0.075,83.59,58.54
"Noord-Holland-Noord","47",0.041,86.91,58.54
"Noord-Holland-Noord","48",0.046,87.97,13.13
"Rotterdam-Rijnmond","42",0.143,0.76,0.53
"Rotterdam-Rijnmond","43",0.077,15.49,11.78
"Rotterdam-Rijnmond","44",0.106,41.77,28.63
"Rotterdam-Rijnmond","45",0.074,59.83,42.08
"Rotterdam-Rijnmond","46",0.067,71.69,50.69
"Rotterdam-Rijnmond","47",0.05,75.39,49.55
"Rotterdam-Rijnmond","48",0.054,75.92,11.26
"Twente","42",NA,NA,0.63
"Twente","43",0.171,15.37,11.09
"Twente","44",0.104,43.73,28.99
"Twente","45",0.059,60.84,42.62
"Twente","46",0.06,74.47,50.23
"Twente","47",0.083,77.64,51.34
"Twente","48",0.072,77.79,10.93
"Utrecht","42",0,0.81,0.74
"Utrecht","43",0.118,21.7,17.56
"Utrecht","44",0.093,68.19,47.01
"Utrecht","45",0.066,95.5,69.82
"Utrecht","46",0.053,120.74,80.22
"Utrecht","47",0.069,125.61,81.85
"Utrecht","48",0.045,125.98,19.63
"Zaanstreek-Waterland","42",NA,NA,0.29
"Zaanstreek-Waterland","43",0.125,10.91,7.08
"Zaanstreek-Waterland","44",0.066,37.75,26.83
"Zaanstreek-Waterland","45",0.049,60.45,42.46
"Zaanstreek-Waterland","46",0.044,71.66,53.67
"Zaanstreek-Waterland","47",0.044,74.61,53.67
"Zaanstreek-Waterland","48",0,75.2,7.67
"Zeeland","42",NA,NA,0.26
"Zeeland","43",0.108,11.99,9.65
"Zeeland","44",0.07,42.5,33.64
"Zeeland","45",0.069,66.75,45.11
"Zeeland","46",0.082,80.31,57.1
"Zeeland","47",0.073,83.44,57.1
"Zeeland","48",0.071,83.7,14.6
"Zuid-Holland-Zuid","42",NA,NA,0.65
"Zuid-Holland-Zuid","43",0.103,16.11,12.62
"Zuid-Holland-Zuid","44",0.102,50.93,36.35
"Zuid-Holland-Zuid","45",0.078,70.52,53.32
"Zuid-Holland-Zuid","46",0.068,83.36,60.51
"Zuid-Holland-Zuid","47",0.073,88.37,62.68
"Zuid-Holland-Zuid","48",0.067,88.8,13.06
